"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE913554141160";"GVZ Rostock WEA1";"In Betrieb";"Wind";"2400";"2400";"9/16/2014";"8/13/2019";"Mecklenburg-Vorpommern";"18146";"Rostock";"Zum Frachtzentrum";"";"";"";"13003000";"54,135241";"12,179236";"";"";"GVZ Rostock";"91";"117";"Nordex Energy GmbH";"N-117";"";"";"Horizontalläufer";"Windkraft an Land";"8/15/2022";"";"";"WIND-projekt GmbH & Co. 26. Betriebs KG";"ABR905107552301";"Volleinspeisung";"SGE965622533612";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL955452465214";"EEG924422809662";"E4052501WINDNIENHAGEN000000800001";"9/16/2014";"2400";"";"";"";"";""
"SEE957131084037";"Strandwind WEA 5-450";"In Betrieb";"Wind";"450";"450";"12/28/1998";"6/26/2020";"Mecklenburg-Vorpommern";"18107";"Elmenhorst/Lichtenhagen";"";"";"Elmenhorst/Lichtenhagen";"Flur1/Flurstück 50/1";"13003000";"54";"11";"";"";"Windpark Elmenhorst";"35";"37";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 450";"";"";"Horizontalläufer";"Windkraft an Land";"4/6/2022";"";"";"Strandwind";"ABR977369608478";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL919209667030";"EEG980701915776";"E41860010000000000602127247200001";"12/28/1998";"450";"";"";"";"";""
"SEE930767006901";"WP Daskow WEA Elmenhorst 6";"In Betrieb";"Wind";"450";"450";"12/30/1998";"12/21/2020";"Mecklenburg-Vorpommern";"18107";"Elmenhorst/Lichtenhagen";"";"";"Elmenhorst";"1 ; 50/22";"13003000";"54,163991";"11,992989";"";"";"Elmenhorst";"35";"37";"AN Windenergie GmbH";"AN Bonus 450kW/37";"";"";"Horizontalläufer";"Windkraft an Land";"5/19/2022";"";"";"Windpark Daskow GmbH & Co. Windenergieanlage Elmenhorst KG";"ABR978070346680";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL946570810970";"EEG952484117883";"E41860010000000000602127243600001";"12/30/1998";"450";"";"";"";"";""
"SEE994471317067";"WEA Stuthof 1";"In Betrieb";"Wind";"500";"500";"5/17/1995";"1/22/2021";"Mecklenburg-Vorpommern";"18146";"Rostock";"";"";"Stuthof";"24/1";"13003000";"54,164345";"12,154068";"";"";"Windpark Stuthof";"48";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"1/22/2021";"";"";"Sonnenexpert Invest GmbH & Co. KG";"ABR932144114216";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL974553839342";"EEG974046061212";"E4052501WINDSTUTHOF00000000100001";"1/17/1995";"500";"";"";"";"";""
"SEE913234891330";"WEA Stuthof 2";"In Betrieb";"Wind";"500";"500";"5/17/1995";"1/22/2021";"Mecklenburg-Vorpommern";"18146";"Rostock";"";"";"Stuthof";"21/1";"13003000";"54,165232";"12,15508";"";"";"Windpark Stuthof";"48";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"1/22/2021";"";"";"Sonnenexpert Invest GmbH & Co. KG";"ABR932144114216";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL953830242945";"EEG934585820329";"E4052501WINDSTUTHOF00000000100002";"5/17/1995";"500";"";"";"";"";""
"SEE987874663367";"WEA Stuthof 3";"In Betrieb";"Wind";"500";"500";"5/17/1995";"1/22/2021";"Mecklenburg-Vorpommern";"18146";"Rostock";"";"";"Stuthof";"20/1";"13003000";"54,167517";"12,156271";"";"";"Windpark Stuthof";"48";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"1/22/2021";"";"";"Sonnenexpert Invest GmbH & Co. KG";"ABR932144114216";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL957798484737";"EEG990629534768";"E4052501WINDSTUTHOF00000000100003";"5/17/1995";"500";"";"";"";"";""
"SEE997357775081";"WEA Stuthof 4";"In Betrieb";"Wind";"500";"500";"5/17/1995";"1/22/2021";"Mecklenburg-Vorpommern";"18146";"Rostock";"";"";"Stuthof";"25/1";"13003000";"54,164128";"12,157852";"";"";"Windpark Stuthof";"48";"50";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"1/22/2021";"";"";"Sonnenexpert Invest GmbH & Co. KG";"ABR932144114216";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL982807589110";"EEG978874937213";"E4052501WINDSTUTHOF00000000100004";"5/17/1995";"500";"";"";"";"";""
"SEE982601977915";"WKA DIETRICHSHAGEN - 1 ENERCON";"In Betrieb";"Wind";"500";"500";"3/13/2001";"3/29/2021";"Mecklenburg-Vorpommern";"18119";"Rostock";"Seegrasweg";"5";"";"";"13003000";"54,17";"12,05";"";"";"WKA Rostock Diedrichshagen - Enercon 1";"42";"32";"Enron Wind GmbH";"E-40/600 KW";"";"";"Horizontalläufer";"Windkraft an Land";"3/29/2021";"";"";"natürliche Person (ABR927628482660)";"ABR927628482660";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL971449514215";"EEG963116473390";"";"11/6/2001";"500";"";"";"";"";""
"SEE931696009322";"WKA DIETRICHSHAGEN - 2 ENERCON";"In Betrieb";"Wind";"500";"500";"11/6/2001";"3/29/2021";"Mecklenburg-Vorpommern";"18119";"Rostock";"Seegrasweg";"6";"";"";"13003000";"54,17";"12,05";"";"";"WKA Rostock Diedrichshagen - Enercon 2";"42";"32";"Enron Wind GmbH";"E-40/600 KW";"";"";"Horizontalläufer";"Windkraft an Land";"3/29/2021";"";"";"natürliche Person (ABR927628482660)";"ABR927628482660";"Volleinspeisung";"";"Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715)";"SNB939724292715";"Geprüft";"Mittelspannung";"SEL921421651261";"EEG935428727904";"";"11/6/2001";"500";"";"";"";"";""
