"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE943811776453";"WEA Wilsdruff - Mohorn IV";"In Betrieb";"Wind";"2350";"2350";"8/30/2017";"2/13/2019";"Sachsen";"01723";"Mohorn";"Mohorner Höhe";"2 Z";"";"";"14628410";"50,986519";"13,451383";"";"";"WP Wilsdruff-Mohorn";"103,9";"92";"ENERCON GmbH";"E-92";"";"";"Horizontalläufer";"Windkraft an Land";"2/8/2022";"";"";"SachsenEnergie AG";"ABR916198639970";"Volleinspeisung";"SGE903065357938";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904081147275";"EEG923115168826";"E41081010000000000000000000249116";"8/30/2017";"2350";"";"";"";"";""
"SEE933316124781";"Windkraftanlage Kaiserburg_FMS_GbR";"In Betrieb";"Wind";"600";"600";"6/4/1997";"2/14/2019";"Sachsen";"04736";"Waldheim";"";"";"Gebersbach";"Flurstück 2/5";"14522080";"51";"13";"";"";"Windkraft Kaiserburg";"60";"43";"Vestas Deutschland GmbH";"NTK600/43";"";"";"Horizontalläufer";"Windkraft an Land";"6/16/2021";"";"";"FMS Scheuerlein GbR";"ABR961577154681";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL988484934984";"EEG993526125909";"E41081010000000000000000000005884";"6/4/1997";"600";"";"";"";"";""
"SEE915926580188";"E 781881";"In Betrieb";"Wind";"2300";"2300";"3/5/2008";"2/19/2019";"Sachsen";"04769";"Mügeln";"";"";"Ablaß";"138/2";"14730200";"51,228778";"12,908472";"";"";"Windpark Ablaß/ Sornzig";"";"";"ENERCON GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"9/28/2023";"";"";"Stadtwerke Leipzig GmbH";"ABR996401106758";"Volleinspeisung";"SGE933019456042";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL960116534762";"EEG958794291381";"E41081010000000000000000000117855";"3/5/2008";"2300";"";"";"";"";""
"SEE956510126443";"S_46050, WE02";"In Betrieb";"Wind";"600";"600";"3/14/2001";"3/6/2019";"Sachsen";"04808";"Thallwitz";"";"";"Thallwitz";"Flur Thallwitz Flurstück 950,2";"14729380";"51,43943";"12,708971";"";"";"Windpark Thallwitz";"74";"46";"Südwind Borsig Energy GmbH";"SÜDWIND S-46/600 kW";"";"";"Horizontalläufer";"Windkraft an Land";"2/9/2022";"";"";"Rasmus GmbH";"ABR969525737825";"Volleinspeisung";"SGE993679276077";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904324761558";"EEG911430270140";"E41081010000000000000000000006875";"3/14/2001";"600";"";"";"";"";""
"SEE945260335038";"S_46051, WE03";"In Betrieb";"Wind";"600";"600";"3/28/2001";"3/6/2019";"Sachsen";"04808";"Thallwitz";"Im Ilsental";"700";"";"";"14729380";"51,44146";"12,712739";"";"";"Windpark Thallwitz";"74";"46";"Südwind Borsig Energy GmbH";"Südwind S 46/600";"";"";"Horizontalläufer";"Windkraft an Land";"1/13/2022";"";"";"Rasmus GmbH";"ABR969525737825";"Volleinspeisung";"SGE946081840923";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL904324761558";"EEG984206994199";"E41081010000000000000000000006874";"3/28/2001";"600";"";"";"";"";""
"SEE975260830493";"WP GB WEA2";"In Betrieb";"Wind";"3400";"3400";"4/29/2017";"3/12/2019";"Sachsen";"04668";"Grimma";"";"";"Großbardau";"500";"14729160";"51,189738";"12,709178";"";"";"WP Großbardau";"143";"114";"Senvion Deutschland GmbH";"3.4M114";"";"";"Horizontalläufer";"Windkraft an Land";"10/18/2022";"";"";"Windstromer GmbH & Co. Bardauer Wind KG";"ABR929296273243";"Volleinspeisung";"SGE951499320677";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951858928025";"EEG925833468363";"E41081010000000000000000000245060";"4/29/2017";"3400";"";"";"";"";""
"SEE978382435096";"SW-GER17";"In Betrieb";"Wind";"3450";"3450";"2/4/2020";"2/5/2020";"Sachsen";"09355";"Gersdorf";"";"";"Gersdorf";"78/42";"14524070";"50,762235";"12,688766";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE991125693188";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG990005686982";"E41081010000000000000000000272097";"2/4/2020";"3450";"WIN18-2/058,";"";"";"";""
"SEE905291723570";"SW-BER18";"In Betrieb";"Wind";"3450";"3450";"12/17/2019";"12/18/2019";"Sachsen";"09337";"Bernsdorf";"";"";"Bernsdorf";"649/5";"14524010";"50,757778";"12,679018";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE972326232086";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG955618211402";"E41081010000000000000000000272099";"12/17/2019";"3450";"WIN18-2/058,";"";"";"";""
"SEE924793446015";"SW-BER19";"In Betrieb";"Wind";"3450";"3450";"11/1/2019";"11/18/2019";"Sachsen";"09337";"Bernsdorf";"";"";"Bernsdorf";"618";"14524010";"50,754836";"12,679433";"";"";"Windgebiet Bernsdorf/Gersdorf";"166";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"7/2/2021";"";"";"Sabowindpark Gersdorf 3";"ABR958148362651";"Volleinspeisung";"SGE995157486695";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL990754816258";"EEG912417013309";"E41081010000000000000000000272100";"11/1/2019";"3450";"WIN18-2/057,";"";"";"";""
"SEE901398830883";"SEI WEA70068";"In Betrieb";"Wind";"1500";"1500";"12/19/2001";"3/14/2019";"Sachsen";"09661";"Rossau";"";"";"Seifersbach";"Flur Seifersbach Flurstück 92/6";"14522500";"50,977547";"13,027572";"";"";"Windpark Seifersbach";"65";"70";"Nordex Energy GmbH";"S70";"";"";"Horizontalläufer";"Windkraft an Land";"4/14/2022";"";"";"ORBIS GmbH & Co. Energie- u. Umwelttechnik Erste KG";"ABR971534939619";"Volleinspeisung";"SGE935900498070";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL968379250795";"EEG971421823861";"E41081010000000000000000000006872";"12/19/2001";"1500";"";"";"";"";""
"SEE913096116961";"WEA Mohorn II";"In Betrieb";"Wind";"600";"600";"12/21/2002";"3/16/2019";"Sachsen";"01723";"Mohorn";"";"";"Mohorn";"878";"14628410";"50,989923";"13,453285";"";"";"Mohorn";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"8/17/2023";"";"";"IG Windenergie Mohorn 2002 GmbH & Co. KG";"ABR950292700280";"Volleinspeisung";"SGE955198317846";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL912205653977";"EEG903994476533";"E41874010000000000114045887000001";"12/20/2002";"600";"";"";"";"";""
"SEE911803227467";"WEA Mohorn III";"In Betrieb";"Wind";"2300";"2300";"9/30/2011";"3/16/2019";"Sachsen";"01723";"Mohorn";"";"";"Mohorn";"921";"14628410";"50,988089";"13,454928";"";"";"Mohorn";"64";"71";"ENERCON GmbH";"E-70/E4";"";"";"Horizontalläufer";"Windkraft an Land";"6/14/2021";"";"";"Windpark III Mohorn GmbH & Co. KG";"ABR916089791657";"Volleinspeisung";"SGE914883104390";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL978482482181";"EEG984332552157";"E41081010000000000000000000011105";"9/30/2011";"2300";"";"";"";"";""
"SEE972573053373";"212389";"In Betrieb";"Wind";"3300";"3300";"9/5/2016";"3/18/2019";"Sachsen";"01612";"Glaubitz";"";"";"Glaubitz";"1 und 513";"14627040";"51,340778";"13,370608";"";"";"Glaubitz RI";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"9/9/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"SGE905756924894";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL962009983800";"EEG977717303659";"E41874010000000000350000014900001";"9/5/2016";"3300";"";"";"";"";""
"SEE940129437144";"212390";"In Betrieb";"Wind";"3300";"3300";"9/8/2016";"3/18/2019";"Sachsen";"01612";"Glaubitz";"";"";"Glaubitz";"1 und 515";"14627040";"51,341303";"13,377986";"";"";"Glaubitz RI";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"6/11/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"SGE905756924894";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL962009983800";"EEG928467679808";"E41874010000000000350000016100001";"9/8/2016";"3300";"";"";"";"";""
"SEE981577602098";"213147";"In Betrieb";"Wind";"3300";"3300";"12/21/2016";"3/18/2019";"Sachsen";"01609";"Wülknitz";"";"";"Streumen";"1 und 626";"14627340";"51,349749";"13,37529";"";"";"Glaubitz RI";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"1/20/2022";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"SGE986683410117";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL962009983800";"EEG945752472388";"E41874010000000000350000029300001";"12/21/2016";"3300";"";"";"";"";""
"SEE933760283379";"213148";"In Betrieb";"Wind";"3300";"3300";"12/13/2016";"3/18/2019";"Sachsen";"01609";"Streumen";"";"";"Zeithain";"1 und 892";"14627340";"51,347158";"13,367806";"";"";"Glaubitz RI";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"11/3/2022";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"SGE986683410117";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL962009983800";"EEG908384874173";"E41874010000000000350000029400001";"12/13/2016";"3300";"";"";"";"";""
"SEE902040392810";"SEI WEA70070";"In Betrieb";"Wind";"1500";"1500";"12/20/2001";"3/20/2019";"Sachsen";"09661";"Rossau";"";"";"Seifersbach";"Flur Seifersbach   /  Flurstück 92/12";"14522500";"50,979527";"13,024375";"";"";"Windpark Seifersbach";"65";"70";"Nordex SE";"Südwind S70";"";"";"Horizontalläufer";"Windkraft an Land";"6/8/2021";"";"";"ORBIS GmbH & Co. Energie- u. Umwelttechnik Erste KG";"ABR971534939619";"Volleinspeisung";"SGE923830746736";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL968379250795";"EEG950501343789";"E41081010000000000000000000006873";"12/20/2001";"1500";"";"";"";"";""
"SEE977117566999";"11850";"In Betrieb";"Wind";"850";"850";"9/27/2001";"3/20/2019";"Sachsen";"01609";"Wülknitz";"";"";"Streumen";"1 und 361";"14627340";"51,345861";"13,370322";"";"";"Glaubtz Altpark";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"6/11/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL967739719095";"EEG936336799991";"E41874010000000000314100047100001";"9/27/2001";"850";"";"";"";"";""
"SEE913022530250";"11851";"In Betrieb";"Wind";"850";"850";"10/23/2001";"3/20/2019";"Sachsen";"01609";"Wülknitz";"";"";"Glaubitz";"1 und 515";"14627340";"51,342689";"13,373892";"";"";"Glaubitz Altpark";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"6/11/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL967739719095";"EEG929432023664";"E41874010000000000314100047400001";"10/23/2001";"850";"";"";"";"";""
"SEE950876774249";"11853";"In Betrieb";"Wind";"850";"850";"9/26/2001";"3/20/2019";"Sachsen";"01609";"Wülknitz";"";"";"Streumen";"1 und 370/1";"14627340";"51,344561";"13,372281";"";"";"Glaubitz Altpark";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"6/11/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL967739719095";"EEG920098937852";"E41874010000000000314100047000001";"9/26/2001";"850";"";"";"";"";""
"SEE967970383994";"11859";"In Betrieb";"Wind";"850";"850";"12/14/2001";"3/20/2019";"Sachsen";"01609";"Wülknitz";"";"";"Streumen";"1 und 383";"14627340";"51,348314";"13,372231";"";"";"Glaubitz Altpark";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"6/11/2021";"";"";"WEB Windenergie Deutschland GmbH";"ABR960207546728";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL967739719095";"EEG919565894019";"E41874010000000000314100047900001";"12/14/2001";"850";"";"";"";"";""
"SEE933806113196";"WKA WP Cln II";"In Betrieb";"Wind";"500";"500";"2/9/1995";"3/22/2019";"Sachsen";"09623";"Rechenberg-Bienenmühle";"";"";"Clausnitz";"381/6";"14522470";"50,7509";"13,473559";"";"";"WP Cln";"53";"39";"Vestas Deutschland GmbH";"V39";"";"";"Horizontalläufer";"Windkraft an Land";"3/15/2022";"";"";"Agrargenossenschaft Sayda e.G.";"ABR933519624118";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL959349252406";"EEG917036063957";"E41081010000000000000000000005771";"2/9/1995";"500";"";"";"";"";""
"SEE953155051758";"Hirtstein 3859";"In Betrieb";"Wind";"225";"225";"7/9/1992";"6/8/2020";"Sachsen";"09496";"Marienberg";"Am Hirtstein";"1 Y";"";"";"14521390";"50,5328";"13,18954";"";"";"Hirtstein";"30";"27";"Vestas Deutschland GmbH";"V27/225";"";"";"Horizontalläufer";"Windkraft an Land";"7/18/2022";"";"";"Sachsenkraft GmbH";"ABR984166103044";"Teileinspeisung (einschließlich Eigenverbrauch)";"SGE979898125983";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL995667052328";"EEG901301750000";"E41081010000000000000000000005876";"7/9/1992";"225";"";"";"";"";""
"SEE934856451009";"Hirtstein 3860";"In Betrieb";"Wind";"225";"225";"7/9/1992";"6/8/2020";"Sachsen";"09496";"Marienberg";"Am Hirtstein";"1 Y";"";"";"14521390";"50,53406";"13,188942";"";"";"Hirtstein";"30";"27";"Vestas Deutschland GmbH";"V 27/225";"";"";"Horizontalläufer";"Windkraft an Land";"7/7/2022";"";"";"Sachsenkraft GmbH";"ABR984166103044";"Teileinspeisung (einschließlich Eigenverbrauch)";"SGE979898125983";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL995667052328";"EEG920015969744";"E41081010000000000000000000005877";"7/9/1992";"225";"";"";"";"";""
"SEE958927403551";"Q-Ventus GmbH & Co KG";"In Betrieb";"Wind";"1500";"1500";"2/3/2004";"4/8/2019";"Sachsen";"08233";"Treuen";"";"";"Hartmannsgrün";"239/1";"14523430";"49,696095";"12,280544";"";"";"Windpark Pfaffengrün";"90";"77";"Senvion Deutschland GmbH";"MD 77";"";"";"Horizontalläufer";"Windkraft an Land";"8/4/2023";"";"";"Q-Ventus GmbH & Co. KG";"ABR980706373502";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL968834637055";"EEG912208133377";"E41081010000000000000000000007771";"2/3/2004";"1500";"";"";"";"";""
"SEE944387092350";"93427";"In Betrieb";"Wind";"2050";"2050";"11/12/2015";"4/9/2019";"Sachsen";"01665";"Diera-Zehren";"";"";"Lautzschen";"90";"14627020";"51,219888";"13,344542";"";"";"Windpark Lautzschen GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM 92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Lautzschen GmbH & Co. KG";"ABR963128463945";"Volleinspeisung";"SGE906914270273";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG903497466178";"E41874010000000000314103439800001";"11/12/2015";"2050";"";"";"";"";""
"SEE977219688056";"93426";"In Betrieb";"Wind";"2050";"2050";"11/12/2015";"4/9/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Lautzschen";"70";"14627130";"51,125966";"13,202428";"";"";"Windpark Lautzschen GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM92";"";"";"Horizontalläufer";"Windkraft an Land";"9/11/2023";"";"";"Windpark Lautzschen GmbH & Co. KG";"ABR963128463945";"Volleinspeisung";"SGE906914270273";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG951718731697";"E41874010000000000314103439700001";"11/12/2015";"2050";"";"";"";"";""
"SEE992444132112";"WP OSB WEA6";"In Betrieb";"Wind";"2300";"2300";"10/30/2012";"4/12/2019";"Sachsen";"09322";"Penig";"Windpark";"701";"";"";"14522460";"50,9361";"12,659601";"";"";"Obersteinbach/Penig";"64";"70";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"8/11/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE916252368907";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG921100252550";"E41081010000000000000000000172524";"10/30/2012";"2300";"";"";"";"";""
"SEE980088729577";"WP Schkortitz E40-Betonturm";"In Betrieb";"Wind";"500";"500";"11/7/1995";"4/12/2019";"Sachsen";"04668";"Grimma";"";"";"Bröhsen";"Flur Bröhsen: Flurstück 276";"14729160";"51,220453";"12,800521";"";"";"Windpark Schkortitz";"50";"40,3";"ENERCON GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"3/15/2022";"";"";"Windkraft G. & B. Hantschmann GbR";"ABR945873213877";"";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL954321418962";"EEG972747122065";"E41081010000000000000000000005736";"11/7/1995";"500";"";"";"";"";""
"SEE974372763552";"WP Schkortitz-Bröhsen";"In Betrieb";"Wind";"500";"500";"1/28/1998";"4/12/2019";"Sachsen";"04668";"Grimma";"";"";"Bröhsen";"Flurstück 190/3";"14729160";"51,225895";"12,804753";"";"";"Windpark Schkortitz";"63,5";"40,3";"ENERCON GmbH";"E 40";"";"";"Horizontalläufer";"Windkraft an Land";"9/16/2019";"";"";"Windkraft G. & B. Hantschmann GbR";"ABR945873213877";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL986081766731";"EEG909772672722";"E41081010000000000000000000005869";"1/28/1998";"500";"";"";"";"";""
"SEE904655687244";"WP Schkortitz-Bröhsen";"In Betrieb";"Wind";"500";"500";"1/29/1998";"4/12/2019";"Sachsen";"04668";"Grimma";"";"";"Bröhsen";"192/5";"14729160";"51,224662";"12,805381";"";"";"Windpark Schkortitz";"63,5";"40,3";"ENERCON GmbH";"E 40";"";"";"Horizontalläufer";"Windkraft an Land";"9/16/2019";"";"";"Windkraft G. & B. Hantschmann GbR";"ABR945873213877";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL986081766731";"EEG938058531231";"E41081010000000000000000000005870";"1/29/1998";"500";"";"";"";"";""
"SEE901787320254";"WP OSB WEA7";"In Betrieb";"Wind";"2300";"2300";"12/23/2010";"4/12/2019";"Sachsen";"09322";"Penig";"Windpark";"702";"";"";"14522460";"50,938123";"12,657247";"";"";"Obersteinbach/Penig";"64";"70";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"8/15/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE916252368907";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG909860790734";"E41081010000000000000000000159642";"12/23/2010";"2300";"";"";"";"";""
"SEE925618197921";"WP OSB WEA1";"In Betrieb";"Wind";"2000";"2000";"2/20/2007";"4/12/2019";"Sachsen";"09212";"Limbach-Oberfrohna";"";"";"Dürrengerbisdorf";"160";"14524180";"50,922914";"12,654636";"";"";"Obersteinbach/Penig";"108";"82";"ENERCON GmbH";"Enercon E-82";"";"";"Horizontalläufer";"Windkraft an Land";"8/15/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE916252368907";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG958817891697";"E41081010000000000000000000015035";"2/20/2007";"2000";"";"";"";"";""
"SEE926028026733";"WP OSB WEA2";"In Betrieb";"Wind";"2000";"2000";"3/14/2007";"4/12/2019";"Sachsen";"09322";"Penig";"";"";"Obersteinbach";"37";"14522460";"50,925156";"12,652491";"";"";"Obersteinbach/Penig";"108";"82";"ENERCON GmbH";"Enercon E-82";"";"";"Horizontalläufer";"Windkraft an Land";"8/15/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE916252368907";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG947218583737";"E41081010000000000000000000015036";"3/14/2007";"2000";"";"";"";"";""
"SEE967646443595";"93253";"In Betrieb";"Wind";"2050";"2050";"4/24/2015";"4/17/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Lautzschen";"Flurstück 93";"14627130";"51,215403";"13,343124";"";"";"Windpark Löbschütz GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM 92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Löbschütz GmbH & Co. KG";"ABR907887254048";"Volleinspeisung";"SGE905709152510";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG997534807680";"E41874010000000000314103439500001";"4/24/2015";"2050";"";"";"";"";""
"SEE963514088653";"93254";"In Betrieb";"Wind";"2050";"2050";"4/16/2015";"4/17/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Zscheilitz";"Flurstück 200";"14627130";"51,213447";"13,346967";"";"";"Windpark Löbschütz GmbH & Co. KG";"100";"92,5";"Senvion Deutschland GmbH";"MM 92";"";"";"Horizontalläufer";"Windkraft an Land";"11/10/2021";"";"";"Windpark Löbschütz GmbH & Co. KG";"ABR907887254048";"Volleinspeisung";"SGE905709152510";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL950634123227";"EEG997523326918";"E41874010000000000314103439600001";"4/16/2015";"2050";"";"";"";"";""
"SEE934536478746";"WP OSB WEA3";"In Betrieb";"Wind";"2000";"2000";"3/21/2007";"4/17/2019";"Sachsen";"09322";"Penig";"";"";"Obersteinbach";"67/1";"14522460";"50,928099";"12,651566";"";"";"Obersteinbach/Penig";"108";"82";"ENERCON GmbH";"Enercon E-82";"";"";"Horizontalläufer";"Windkraft an Land";"8/15/2023";"";"";"Windstromer GmbH & Co. Bergert ＆ Gumpert KG";"ABR953744539186";"Volleinspeisung";"SGE916252368907";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL981833990990";"EEG999092007083";"E41081010000000000000000000015037";"3/21/2007";"2000";"";"";"";"";""
