"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE973036952011";"Ditt WEA 2";"In Betrieb";"Wind";"2000";"2000";"6/23/2010";"8/1/2019";"Sachsen";"02788";"Dittelsdorf";"";"";"Dittelsdorf";"752";"14626610";"50,953509";"14,844216";"";"";"WP Dittelsdorf III V33336";"105";"90";"Vestas Deutschland GmbH";"V 90-2MW";"";"";"Horizontalläufer";"Windkraft an Land";"6/10/2021";"";"";"Grünwerke GmbH";"ABR951284051649";"Volleinspeisung";"SGE914391264203";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL917044074341";"EEG903440673820";"E41874010000000000314100415900001";"6/23/2010";"2000";"";"";"";"";""
"SEE965660775913";"Ditt WEA 3";"In Betrieb";"Wind";"2000";"2000";"6/28/2010";"8/1/2019";"Sachsen";"02788";"Dittelsdorf";"";"";"Dittelsdorf";"758/1";"14626610";"50,949522";"14,845543";"";"";"WP Dittelsdorf III V33337";"105";"90";"Vestas Deutschland GmbH";"V 90-2MW";"";"";"Horizontalläufer";"Windkraft an Land";"6/10/2021";"";"";"Grünwerke GmbH";"ABR951284051649";"Volleinspeisung";"SGE983978175300";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL917044074341";"EEG964006837728";"E41874010000000000314100416000001";"6/28/2010";"2000";"";"";"";"";""
"SEE966513977263";"Großbardau WEA 1";"In Betrieb";"Wind";"3400";"3400";"4/29/2017";"8/1/2019";"Sachsen";"04668";"Grimma";"Alte Dorfstraße";"900 Z";"";"";"14729160";"51,193251";"12,709561";"";"";"Großbardau";"143";"114";"Senvion Deutschland GmbH";"3.4M114";"";"";"Horizontalläufer";"Windkraft an Land";"6/28/2022";"";"";"Windenergie Bardau GmbH";"ABR939426328736";"Volleinspeisung";"SGE971564312802";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL951858928025";"EEG935421280116";"E41081010000000000000000000245053";"4/29/2017";"3400";"";"";"";"";""
"SEE994305177713";"Eulendorf 98001";"In Betrieb";"Wind";"600";"600";"4/8/1999";"8/1/2019";"Sachsen";"09661";"Hainichen";"";"";"Eulendorf";"Flur: 192";"14522230";"50,940825";"13,123651";"";"";"Eulendorf";"70";"48";"DeWind GmbH";"D4";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"Hanse Windkraft GmbH";"ABR939893126392";"Volleinspeisung";"SGE979222724172";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL965245650338";"EEG949493995205";"E41081010000000000000000000006672";"4/8/1999";"600";"";"";"";"";""
"SEE962384929059";"Eulendorf 98002";"In Betrieb";"Wind";"600";"600";"4/8/1999";"8/2/2019";"Sachsen";"09661";"Hainichen";"";"";"Eulendorf";"Flur: 192";"14522230";"50,938345";"13,123206";"";"";"Eulendorf";"70";"48";"DeWind GmbH";"D4";"";"";"Horizontalläufer";"Windkraft an Land";"11/18/2021";"";"";"Hanse Windkraft GmbH";"ABR939893126392";"Volleinspeisung";"SGE979222724172";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL965245650338";"EEG938114540627";"E41081010000000000000000000006673";"4/8/1999";"600";"";"";"";"";""
"SEE908880335116";"Eulendorf 98003";"In Betrieb";"Wind";"600";"600";"5/11/1999";"8/2/2019";"Sachsen";"09661";"Hainichen";"";"";"Eulendorf";"Flur: 192";"14522230";"50,936521";"13,125703";"";"";"Eulendorf";"70";"48";"DeWind GmbH";"D4";"";"";"Horizontalläufer";"Windkraft an Land";"11/23/2021";"";"";"Hanse Windkraft GmbH";"ABR939893126392";"Volleinspeisung";"SGE979222724172";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL965245650338";"EEG940385633540";"E41081010000000000000000000006674";"5/11/1999";"600";"";"";"";"";""
"SEE933322512763";"WKA E-70";"In Betrieb";"Wind";"2300";"2300";"2/24/2017";"8/2/2019";"Sachsen";"09623";"Rechenberg-Bienenmühle";"";"";"Clausnitz";"391/5";"14522470";"50,749813";"13,471195";"";"";"Windpark Clausnitz";"64";"71";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"4/22/2021";"";"";"Agrargenossenschaft ""Bergland"" Clausnitz e.G.";"ABR997271866742";"Volleinspeisung";"SGE942271688276";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL903789267162";"EEG983682847883";"E41081010000000000000000000226885";"2/24/2017";"2300";"";"";"";"";""
"SEE940552043769";"66385";"In Betrieb";"Wind";"1500";"1500";"2/17/2000";"2/17/2020";"Sachsen";"02829";"Schöpstal";"Windpark 71";"";"";"";"14626110";"51,2005";"14,961347";"";"";"Ludwigsdorf/Görlitz";"65";"70";"ENERCON GmbH";"E-66/15.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/11/2021";"";"";"NWE Niederschlesische Windenergie GmbH & Co. Windkraftanlagenpark am Galgenpark KG";"ABR938018807437";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL970173918757";"EEG931654790446";"E41874010000000000314100055600001";"2/17/2000";"1500";"";"";"";"";""
"SEE943784717026";"Windkraftanlage Braunsdorf/Kesselsdorf";"In Betrieb";"Wind";"600";"600";"11/7/2000";"8/7/2019";"Sachsen";"01723";"Wilsdruff";"";"";"Kesselsdorf";"217/1";"14627100";"51,023939";"13,58059";"";"";"Windpark Braunsdorf";"60";"46";"Tacke GmbH & Co. KG";"Tacke TW 600e";"";"";"Horizontalläufer";"Windkraft an Land";"9/22/2021";"";"";"SkyPower Windenergie e.K.";"ABR910240325552";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL939154137723";"EEG914263311486";"E41874010000000000114000271000001";"11/7/2000";"600";"";"";"";"";""
"SEE978170516129";"78803";"In Betrieb";"Wind";"2000";"2000";"9/22/2006";"8/8/2019";"Sachsen";"01623";"Lommatzsch";"";"";"Scheerau";"46";"14627130";"51,211715";"13,281591";"";"";"Achim Dorner Beteiligungs GmbH";"98,2";"71";"ENERCON GmbH";"E 70 (wistec)";"";"";"Horizontalläufer";"Windkraft an Land";"1/5/2022";"";"";"Achim Dorner Beteiligungs GmbH";"ABR912215995494";"Volleinspeisung";"SGE929597275403";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL908215252194";"EEG928385161799";"E41874010000000000314100049600001";"9/22/2006";"2000";"";"";"";"";""
"SEE932011968058";"V44,Nr.2185";"In Betrieb";"Wind";"600";"600";"10/25/1996";"8/12/2019";"Sachsen";"09623";"Rechenberg-Bienenmühle";"";"";"Clausnitz";"Flurstück: 381/5";"14522470";"50,757248";"13,467998";"";"";"Windpark Clausnitz";"63";"44";"Vestas Deutschland GmbH";"Vestas V-44";"";"";"Horizontalläufer";"Windkraft an Land";"3/15/2022";"";"";"Agrargenossenschaft ""Bergland"" Clausnitz e.G.";"ABR997271866742";"Volleinspeisung";"SGE928871705247";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL959349252406";"EEG964926773380";"E41081010000000000000000000007064";"10/25/1996";"600";"";"";"";"";""
"SEE931547896736";"Dittelsdorf 30434";"In Betrieb";"Wind";"3000";"3000";"3/12/2008";"8/13/2019";"Sachsen";"02788";"Hirschfelde";"";"";"Dittelsdorf";"6; Flurstück 730";"14626610";"50,956464";"14,844978";"";"";"WP Dittelsdorf";"105";"90";"Vestas Deutschland GmbH";"V90 - 3 MW VOC II";"";"";"Horizontalläufer";"Windkraft an Land";"4/27/2021";"";"";"enercity Windpark Portfolio GmbH & Co. KG";"ABR903729451323";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL969314763257";"EEG928991636988";"E41874010000000000114048909200001";"3/12/2008";"3000";"";"";"";"";""
"SEE931856714455";"Dittelsdorf 30435";"In Betrieb";"Wind";"3000";"3000";"3/12/2008";"8/13/2019";"Sachsen";"02788";"Hirschfelde";"";"";"Dittelsdorf";"6; Flurstück 730";"14626610";"50,955355";"14,849125";"";"";"WP Dittelsdorf";"105";"90";"Vestas Deutschland GmbH";"V90 - 3 MW VOC II";"";"";"Horizontalläufer";"Windkraft an Land";"4/27/2021";"";"";"enercity Windpark Portfolio GmbH & Co. KG";"ABR903729451323";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL969314763257";"EEG913810879226";"E41874010000000000314100050000001";"3/12/2008";"3000";"";"";"";"";""
"SEE998317603192";"WP RD WEA3";"In Betrieb";"Wind";"1800";"1800";"3/7/2003";"8/20/2019";"Sachsen";"04565";"Regis-Breitingen";"";"";"Ramsdorf";"112/6";"14729360";"51,097972";"12,35797";"";"";"Ramsdorf";"98";"66";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"5/5/2023";"";"";"Aiolos GmbH & Co. KG";"ABR902803119890";"Volleinspeisung";"SGE901434650734";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL919169082911";"EEG916743822031";"E41081010000000000000000000007986";"3/7/2003";"1800";"";"";"";"";""
"SEE992588691384";"V-23040";"In Betrieb";"Wind";"2000";"2000";"2/24/2006";"9/19/2019";"Sachsen";"04552";"Borna";"";"";"Thräna";"Flur 5 Flurstück 446";"14729050";"51,075833";"12,483333";"";"";"WP Borna (Thräna)";"95";"90";"Vestas Deutschland GmbH";"V-90/2.0/95m";"";"";"Horizontalläufer";"Windkraft an Land";"1/20/2021";"";"";"MIRTOS Beteiligungsgesellschaft mbH & Co.KG";"ABR963990678621";"Volleinspeisung";"SGE903445706752";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL949496611430";"EEG948491908798";"E41081010000000000000000000010042";"2/24/2006";"2000";"";"";"";"";""
"SEE971674448804";"V44, Nr. 2186";"In Betrieb";"Wind";"600";"600";"10/25/1996";"8/27/2019";"Sachsen";"09623";"Rechenberg-Bienenmühle";"";"";"Clausnitz";"381/8";"14522470";"50,756138";"13,469599";"";"";"Windpark Clausnitz";"63";"44";"Vestas Deutschland GmbH";"Vestas V44";"";"";"Horizontalläufer";"Windkraft an Land";"3/15/2022";"";"";"Agrargenossenschaft ""Bergland"" Clausnitz e.G.";"ABR997271866742";"Volleinspeisung";"SGE928871705247";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung";"SEL959349252406";"EEG997788725976";"E41081010000000000000000000006663";"10/25/1996";"600";"";"";"";"";""
"SEE916180662375";"WEA Hohenroda 1";"In Betrieb";"Wind";"1800";"1800";"1/18/2002";"8/30/2019";"Sachsen";"04509";"Delitzsch";"";"";"Selben";"Flur5: 117";"14730070";"51,50286";"12,39484";"";"";"WP Hohenroda";"65";"70";"ENERCON GmbH";"E-66/18.70";"";"";"Horizontalläufer";"Windkraft an Land";"7/5/2021";"";"";"envia THERM GmbH";"ABR987228640990";"Volleinspeisung";"SGE961808598116";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL956264485032";"EEG984605563798";"E41081010000000000000000000008127";"1/18/2002";"1800";"";"";"";"";""
